"Database","Connectivity From","Connectivity To","Projection Strength","Organism","Notes","Reference","e_uid","database","con_from","con_to","projection_strength","species","notes","reference","link","con_from_abb","con_to_abb","nifid","ref_link"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=296&aff=271"" class=""external"" target=""_blank"">BAMS</a>","Suprachiasmatic nucleus dorsomedial part","Anterior periventricular nucleus of the hypothalamus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=20863850"" class=""external"" target=""_blank"">Canteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res Rev</a>","296271not presentCanteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res RevPHALAnterior periventricular nucleus of the hypothalamus","BAMS","Suprachiasmatic nucleus dorsomedial part","Anterior periventricular nucleus of the hypothalamus","not detected","Rat","Technique: PHAL","Canteras N.S., Ribeiro-Barbosa E.R., Goto M., Cipolla-Neto J. & Swanson L.W.: The retinohypothalamic tract: comparison of axonal projection patterns from four major targets. In Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=296&aff=271","SCHd","PVa","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=20863850"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=116&aff=819"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","Simple lobule sublobule a","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=16304681"" class=""external"" target=""_blank"">Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp Neurol</a>","116819not presentDong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp NeurolPHALSimple lobule sublobule a","BAMS","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","Simple lobule sublobule a","not detected","Rat","Technique: PHAL","Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=116&aff=819","BSTmg","SIMa","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=16304681"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=298&aff=241"" class=""external"" target=""_blank"">BAMS</a>","Subparaventricular zone","Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part","weak","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=3294923"" class=""external"" target=""_blank"">Watts AG, Swanson LW, Sanchez-Watts G.: Efferent projections of the suprachiasmatic nucleus: I. Studies using anterograde transport of Phaseolus vulgaris leucoagglutinin in the rat.. In J Comp Neurol</a>","298241very lightWatts AG, Swanson LW, Sanchez-Watts G.: Efferent projections of the suprachiasmatic nucleus: I. Studies using anterograde transport of Phaseolus vulgaris leucoagglutinin in the rat.. In J Comp NeurolPHALParaventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part","BAMS","Subparaventricular zone","Paraventricular nucleus of the hypothalamus, descending division, dorsal parvicellular part","weak","Rat","Technique: PHAL","Watts AG, Swanson LW, Sanchez-Watts G.: Efferent projections of the suprachiasmatic nucleus: I. Studies using anterograde transport of Phaseolus vulgaris leucoagglutinin in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=298&aff=241","SBPV","PVHdp","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=3294923"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=242"" class=""external"" target=""_blank"">BAMS</a>","Basomedial nucleus of the amygdala posterior part","Paraventricular nucleus of the hypothalamus, descending division, lateral parvicellular part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"" class=""external"" target=""_blank"">Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol</a>","787242not presentPetrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp NeurolPHALParaventricular nucleus of the hypothalamus, descending division, lateral parvicellular part","BAMS","Basomedial nucleus of the amygdala posterior part","Paraventricular nucleus of the hypothalamus, descending division, lateral parvicellular part","not detected","Rat","Technique: PHAL","Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=242","BMAp","PVHlp","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=321&aff=365"" class=""external"" target=""_blank"">BAMS</a>","Lateral hypothalamic area","Lateral septal nucleus","weak","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=7682225"" class=""external"" target=""_blank"">Allen GV, Cechetto DF.: Functional and anatomical organization of cardiovascular pressor and depressor sites in the lateral hypothalamic area. II. Ascending projections.. In J Comp Neurol</a>","321365lightAllen GV, Cechetto DF.: Functional and anatomical organization of cardiovascular pressor and depressor sites in the lateral hypothalamic area. II. Ascending projections.. In J Comp NeurolPHALLateral septal nucleus","BAMS","Lateral hypothalamic area","Lateral septal nucleus","weak","Rat","Technique: PHAL","Allen GV, Cechetto DF.: Functional and anatomical organization of cardiovascular pressor and depressor sites in the lateral hypothalamic area. II. Ascending projections.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=321&aff=365","LHA","LS","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=7682225"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=721&aff=281"" class=""external"" target=""_blank"">BAMS</a>","Subiculum ventral part","Medial preoptic nucleus","exists","Rat","Technique: True Blue/SITS/WGA","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=3517086"" class=""external"" target=""_blank"">Simerly RB, Swanson LW.: The organization of neural inputs to the medial preoptic nucleus of the rat.. In J Comp Neurol</a>","721281existsSimerly RB, Swanson LW.: The organization of neural inputs to the medial preoptic nucleus of the rat.. In J Comp NeurolTrue Blue/SITS/WGAMedial preoptic nucleus","BAMS","Subiculum ventral part","Medial preoptic nucleus","exists","Rat","Technique: True Blue/SITS/WGA","Simerly RB, Swanson LW.: The organization of neural inputs to the medial preoptic nucleus of the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=721&aff=281","SUBv","MPN","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=3517086"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=1694&aff=787"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis, anterior division, subcommisural zone","Basomedial nucleus of the amygdala posterior part","weak","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"" class=""external"" target=""_blank"">Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol</a>","1694787very lightDong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp NeurolPHALBasomedial nucleus of the amygdala posterior part","BAMS","Bed nuclei of the stria terminalis, anterior division, subcommisural zone","Basomedial nucleus of the amygdala posterior part","weak","Rat","Technique: PHAL","Dong H-W & Swanson L.W.: Organization of axonal projections from the anterolateral area of the bed nuclei of the stria terminalis. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=1694&aff=787","BSTsc","BMAp","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=12836178"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=786&aff=740"" class=""external"" target=""_blank"">BAMS</a>","Basomedial nucleus of the amygdala anterior part","Field CA3 stratum lacunosum-moleculare","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=11750934"" class=""external"" target=""_blank"">Petrovich G.D., Canteras N.S., Swanson L.W.: Combinatorial amygdalar inputs to hippocampal domains and hypothalamic behavior systems. In Brain Res Brain Res Rev</a>","786740not presentPetrovich G.D., Canteras N.S., Swanson L.W.: Combinatorial amygdalar inputs to hippocampal domains and hypothalamic behavior systems. In Brain Res Brain Res RevPHALField CA3 stratum lacunosum-moleculare","BAMS","Basomedial nucleus of the amygdala anterior part","Field CA3 stratum lacunosum-moleculare","not detected","Rat","Technique: PHAL","Petrovich G.D., Canteras N.S., Swanson L.W.: Combinatorial amygdalar inputs to hippocampal domains and hypothalamic behavior systems. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=786&aff=740","BMAa","CA3slm","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=11750934"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=114&aff=630"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division fusiform nucleus","Phrenic nucleus","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=11447588"" class=""external"" target=""_blank"">Dong HW, Petrovich GD, Watts AG, Swanson LW: Basic organization of projections from the oval and fusiform nuclei of the bed nuclei of the stria terminalis in adult rat brain. In J Comp Neurol</a>","114630not presentDong HW, Petrovich GD, Watts AG, Swanson LW: Basic organization of projections from the oval and fusiform nuclei of the bed nuclei of the stria terminalis in adult rat brain. In J Comp NeurolPHALPhrenic nucleus","BAMS","Bed nuclei of the stria terminalis anterior division fusiform nucleus","Phrenic nucleus","not detected","Rat","Technique: PHAL","Dong HW, Petrovich GD, Watts AG, Swanson LW: Basic organization of projections from the oval and fusiform nuclei of the bed nuclei of the stria terminalis in adult rat brain. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=114&aff=630","BSTfu","PN","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=11447588"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=399&aff=758"" class=""external"" target=""_blank"">BAMS</a>","Lateral septal nucleus ventral part","Fasciola cinerea","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","399758not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevPHALFasciola cinerea","BAMS","Lateral septal nucleus ventral part","Fasciola cinerea","not detected","Rat","Technique: PHAL","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=399&aff=758","LSv","FC","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=110&aff=45"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis juxtacapsular nucleus","Entorhinal area, lateral part layers 1-6","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=10720609"" class=""external"" target=""_blank"">Dong H., Petrovich G.D., Swanson L.W.: Organization of projections from the juxtacapsular nucleus of the BST: a PHAL study in the rat. In Brain Res</a>","11045not presentDong H., Petrovich G.D., Swanson L.W.: Organization of projections from the juxtacapsular nucleus of the BST: a PHAL study in the rat. In Brain ResPHALEntorhinal area, lateral part layers 1-6","BAMS","Bed nuclei of the stria terminalis juxtacapsular nucleus","Entorhinal area, lateral part layers 1-6","not detected","Rat","Technique: PHAL","Dong H., Petrovich G.D., Swanson L.W.: Organization of projections from the juxtacapsular nucleus of the BST: a PHAL study in the rat. In Brain Res","http://brancusi.usc.edu/connections/conef-det.php?eff=110&aff=45","BSTju","ENTl1-6","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=10720609"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=302&aff=11103"" class=""external"" target=""_blank"">BAMS</a>","Ventromedial nucleus of the hypothalamus anterior part","Nucleus reuniens rostral division anterior part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol</a>","30211103not presentCanteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp NeurolPHALNucleus reuniens rostral division anterior part","BAMS","Ventromedial nucleus of the hypothalamus anterior part","Nucleus reuniens rostral division anterior part","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=302&aff=11103","VMHa","REa","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=721&aff=683"" class=""external"" target=""_blank"">BAMS</a>","Subiculum ventral part","Primary somatosensory area barrel field","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=1430328"" class=""external"" target=""_blank"">Canteras NS, Swanson LW.: Projections of the ventral subiculum to the amygdala, septum, and hypothalamus: a PHAL anterograde tract-tracing study in the rat.. In J Comp Neurol</a>","721683not presentCanteras NS, Swanson LW.: Projections of the ventral subiculum to the amygdala, septum, and hypothalamus: a PHAL anterograde tract-tracing study in the rat.. In J Comp NeurolPHALPrimary somatosensory area barrel field","BAMS","Subiculum ventral part","Primary somatosensory area barrel field","not detected","Rat","Technique: PHAL","Canteras NS, Swanson LW.: Projections of the ventral subiculum to the amygdala, septum, and hypothalamus: a PHAL anterograde tract-tracing study in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=721&aff=683","SUBv","SS-bfd","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=1430328"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=313"" class=""external"" target=""_blank"">BAMS</a>","Prelimbic area","Supramammillary nucleus medial part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=10720617"" class=""external"" target=""_blank"">Fisk G.A. & Wyss J.M.: Descending projections of infralimbic cortex that mediate stimulation-evoked changes in arterial pressure. In Brain Res</a>","767313not presentFisk G.A. & Wyss J.M.: Descending projections of infralimbic cortex that mediate stimulation-evoked changes in arterial pressure. In Brain ResPHALSupramammillary nucleus medial part","BAMS","Prelimbic area","Supramammillary nucleus medial part","not detected","Rat","Technique: PHAL","Fisk G.A. & Wyss J.M.: Descending projections of infralimbic cortex that mediate stimulation-evoked changes in arterial pressure. In Brain Res","http://brancusi.usc.edu/connections/conef-det.php?eff=767&aff=313","PL","SUMm","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=10720617"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=706&aff=56"" class=""external"" target=""_blank"">BAMS</a>","Anterior cingulate area dorsal part","Anteroventral nucleus of thalamus","weak","Rat","Technique: HRP","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=3320108"" class=""external"" target=""_blank"">Thompson SM, Robertson RT.: Organization of subcortical pathways for sensory projections to the limbic cortex. I. Subcortical projections to the medial limbic cortex in the rat.. In J Comp Neurol</a>","70656lightThompson SM, Robertson RT.: Organization of subcortical pathways for sensory projections to the limbic cortex. I. Subcortical projections to the medial limbic cortex in the rat.. In J Comp NeurolHRPAnteroventral nucleus of thalamus","BAMS","Anterior cingulate area dorsal part","Anteroventral nucleus of thalamus","weak","Rat","Technique: HRP","Thompson SM, Robertson RT.: Organization of subcortical pathways for sensory projections to the limbic cortex. I. Subcortical projections to the medial limbic cortex in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=706&aff=56","ACAd","AV","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=3320108"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=848"" class=""external"" target=""_blank"">BAMS</a>","Basomedial nucleus of the amygdala posterior part","Retina, ganglion cell layer","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"" class=""external"" target=""_blank"">Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol</a>","787848not presentPetrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp NeurolPHALRetina, ganglion cell layer","BAMS","Basomedial nucleus of the amygdala posterior part","Retina, ganglion cell layer","not detected","Rat","Technique: PHAL","Petrovich GD, Risold PY, Swanson LW: Organization of projections from the basomedial nucleus of the amygdala: a PHAL study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=787&aff=848","BMAp","Rgcl","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=8906507"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=116&aff=45"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","Entorhinal area, lateral part layers 1-6","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=16304681"" class=""external"" target=""_blank"">Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp Neurol</a>","11645not presentDong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp NeurolPHALEntorhinal area, lateral part layers 1-6","BAMS","Bed nuclei of the stria terminalis anterior division magnocellular nucleus","Entorhinal area, lateral part layers 1-6","not detected","Rat","Technique: PHAL","Dong H. & Swanson L.W.: Projections from bed nuclei of the stria terminalis, magnocellular nucleus: implications for cerebral hemisphere regulation of micturition, defecation, and penile erection. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=116&aff=45","BSTmg","ENTl1-6","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=16304681"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=594&aff=569"" class=""external"" target=""_blank"">BAMS</a>","Pontine reticular nucleus caudal part","Dorsal nucleus raphe","moderate","Rat","Technique: autoradiography","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=3192756"" class=""external"" target=""_blank"">Vertes RP, Martin GF.: Autoradiographic analysis of ascending projections from the pontine and mesencephalic reticular formation and the median raphe nucleus in the rat.. In J Comp Neurol</a>","594569moderateVertes RP, Martin GF.: Autoradiographic analysis of ascending projections from the pontine and mesencephalic reticular formation and the median raphe nucleus in the rat.. In J Comp NeurolautoradiographyDorsal nucleus raphe","BAMS","Pontine reticular nucleus caudal part","Dorsal nucleus raphe","moderate","Rat","Technique: autoradiography","Vertes RP, Martin GF.: Autoradiographic analysis of ascending projections from the pontine and mesencephalic reticular formation and the median raphe nucleus in the rat.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=594&aff=569","PRNc","DR","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=3192756"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=302&aff=572"" class=""external"" target=""_blank"">BAMS</a>","Ventromedial nucleus of the hypothalamus anterior part","Nucleus incertus diffuse part","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"" class=""external"" target=""_blank"">Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol</a>","302572not presentCanteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp NeurolPHALNucleus incertus diffuse part","BAMS","Ventromedial nucleus of the hypothalamus anterior part","Nucleus incertus diffuse part","not detected","Rat","Technique: PHAL","Canteras N.S., Simerly R.B., Swanson L.W.: Organization of projections from the ventromedial nucleus of the hypothalamus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=302&aff=572","VMHa","NId","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=7814684"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=399&aff=733"" class=""external"" target=""_blank"">BAMS</a>","Lateral septal nucleus ventral part","Field CA1 stratum oriens","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"" class=""external"" target=""_blank"">Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev</a>","399733not presentRisold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res RevPHALField CA1 stratum oriens","BAMS","Lateral septal nucleus ventral part","Field CA1 stratum oriens","not detected","Rat","Technique: PHAL","Risold P.Y., Swanson L.W.: Connections of the lateral septal complex. In Brain Res Brain Res Rev","http://brancusi.usc.edu/connections/conef-det.php?eff=399&aff=733","LSv","CA1so","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=9385454"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=702&aff=411"" class=""external"" target=""_blank"">BAMS</a>","Agranular insular area dorsal part","Nucleus of the diagonal band","weak","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=2013647"" class=""external"" target=""_blank"">Gaykema RP, van Weeghel R, Hersh LB, Luiten PG.: Prefrontal cortical projections to the cholinergic neurons in the basal forebrain.. In J Comp Neurol</a>","702411lightGaykema RP, van Weeghel R, Hersh LB, Luiten PG.: Prefrontal cortical projections to the cholinergic neurons in the basal forebrain.. In J Comp NeurolPHALNucleus of the diagonal band","BAMS","Agranular insular area dorsal part","Nucleus of the diagonal band","weak","Rat","Technique: PHAL","Gaykema RP, van Weeghel R, Hersh LB, Luiten PG.: Prefrontal cortical projections to the cholinergic neurons in the basal forebrain.. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=702&aff=411","AId","NDB","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=2013647"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=303&aff=289"" class=""external"" target=""_blank"">BAMS</a>","Ventromedial nucleus of the hypothalamus dorsomedial part","Anterior hypothalamic area","exists","Rat","Technique: autoradiography","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=61975"" class=""external"" target=""_blank"">Saper C.B., Swanson L.W., Cowan W.M.: The efferent connections of the ventromedial nucleus of the hypothalamus of the rat. In J Comp Neurol</a>","303289existsSaper C.B., Swanson L.W., Cowan W.M.: The efferent connections of the ventromedial nucleus of the hypothalamus of the rat. In J Comp NeurolautoradiographyAnterior hypothalamic area","BAMS","Ventromedial nucleus of the hypothalamus dorsomedial part","Anterior hypothalamic area","exists","Rat","Technique: autoradiography","Saper C.B., Swanson L.W., Cowan W.M.: The efferent connections of the ventromedial nucleus of the hypothalamus of the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=303&aff=289","VMHdm","AHA","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=61975"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=837&aff=540"" class=""external"" target=""_blank"">BAMS</a>","Fastigial nucleus","Precommissural nucleus","not detected","Rat","Technique: CTB","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=10331578"" class=""external"" target=""_blank"">Canteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp Neurol</a>","837540not presentCanteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp NeurolCTBPrecommissural nucleus","BAMS","Fastigial nucleus","Precommissural nucleus","not detected","Rat","Technique: CTB","Canteras N.S & Goto M.: Connections of the precommissural nucleus. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=837&aff=540","FN","PRC","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=10331578"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=114&aff=533"" class=""external"" target=""_blank"">BAMS</a>","Bed nuclei of the stria terminalis anterior division fusiform nucleus","Substantia nigra compact part","fibers of passage","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=11447588"" class=""external"" target=""_blank"">Dong HW, Petrovich GD, Watts AG, Swanson LW: Basic organization of projections from the oval and fusiform nuclei of the bed nuclei of the stria terminalis in adult rat brain. In J Comp Neurol</a>","114533fibers of passageDong HW, Petrovich GD, Watts AG, Swanson LW: Basic organization of projections from the oval and fusiform nuclei of the bed nuclei of the stria terminalis in adult rat brain. In J Comp NeurolPHALSubstantia nigra compact part","BAMS","Bed nuclei of the stria terminalis anterior division fusiform nucleus","Substantia nigra compact part","fibers of passage","Rat","Technique: PHAL","Dong HW, Petrovich GD, Watts AG, Swanson LW: Basic organization of projections from the oval and fusiform nuclei of the bed nuclei of the stria terminalis in adult rat brain. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=114&aff=533","BSTfu","SNc","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=11447588"
"<a href=""http://brancusi.usc.edu/connections/conef-det.php?eff=299&aff=867"" class=""external"" target=""_blank"">BAMS</a>","Retrochiasmatic area","Facial nucleus_proper","not detected","Rat","Technique: PHAL","<a href=""http://www.ncbi.nlm.nih.gov/pubmed?term=7814679"" class=""external"" target=""_blank"">Risold P.Y., Canteras N.S., Swanson L.W.: Organization of projections from the anterior hypothalamic nucleus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol</a>","299867not presentRisold P.Y., Canteras N.S., Swanson L.W.: Organization of projections from the anterior hypothalamic nucleus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp NeurolPHALFacial nucleus_proper","BAMS","Retrochiasmatic area","Facial nucleus_proper","not detected","Rat","Technique: PHAL","Risold P.Y., Canteras N.S., Swanson L.W.: Organization of projections from the anterior hypothalamic nucleus: a Phaseolus vulgaris-leucoagglutinin study in the rat. In J Comp Neurol","http://brancusi.usc.edu/connections/conef-det.php?eff=299&aff=867","RCH","VII_p","nif-0000-00018","http://www.ncbi.nlm.nih.gov/pubmed?term=7814679"
